Encoding = UTF-8
*GTD.GherkinReplayData
 
 item                     ; expected_value                               ; localization  ; test_case            ; configuration                                                                                            ; replay_data
 person.name              ; Judith Melzer                                                             ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Judith Melzer | #current | #current | Get Name |"
 traffic.license_plate    ; HB GU 7692                                                                ; de_DE         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| traffic.license_plate  | HB GU 7692 | #current | #current |  |"
 address.address          ; 995 Murphy Passage\nEast Robert, KY 14156                                 ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address  | 995 Murphy Passage\nEast Robert, KY 14156 | #current | #current | Get Address |"
 address.address_country  ; 59272 William Fall\nAndreashire, AL 75981\nUnited States                  ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address_country  | 59272 William Fall\nAndreashire, AL 75981\nUnited States | #current | #current | Get Address And Country |"
 address.city             ; Cherylbury                                                                ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.city  | Cherylbury | #current | #current | Get City |"
 address.country          ; Saudi Arabia                                                              ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country  | Saudi Arabia | #current | #current | Get Country |"
 address.country_code     ; BA                                                                        ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country_code  | BA | #current | #current | Get Country Code |"
 address.house_number     ; 181                                                                       ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.house_number  | 181 | #current | #current | Get House Number |"
 address.postcode         ; 81376                                                                     ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode  | 81376 | #current | #current | Get Postcode |"
 address.postcode_city    ; Port Elizabethberg, OK 63023                                              ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode_city  | Port Elizabethberg, OK 63023 | #current | #current | Get Postcode And City |"
 address.state            ; Alberta                                                                   ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.state  | Alberta | #current | #current | Get State |"
 address.street           ; Lisa Rue                                                                  ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street  | Lisa Rue | #current | #current | Get Street |"
 address.street_address   ; 0223 Heather Unions                                                       ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street_address  | 0223 Heather Unions | #current | #current | Get Street And House Number |"
 finance.bank_name        ; CITADEL ADVISORS LLC                                                      ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_name  | CITADEL ADVISORS LLC | #current | #current | Get Bank |"
 finance.bank_bic         ; CITGUSA1XXX                                                               ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_bic  | CITGUSA1XXX | #current | #current | Get Bic |"
 finance.bank_iban        ; GB73FMDD61613437972712                                                    ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_iban  | GB73FMDD61613437972712 | #current | #current | Get Iban |"
 person.first_name        ; Drew                                                                      ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.first_name  | Drew | #current | #current | Get First Name |"
 person.last_name         ; Richard                                                                   ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.last_name  | Richard | #current | #current | Get Last Name |"
 person.name              ; Caitlin Dalton                                                            ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Caitlin Dalton | #current | #current | Get Name |"
 person.name              ; Drew Richard                                                              ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Drew Richard | #current | #current | Get Name |"
 traffic.license_plate    ; 62J 665                                                                   ; en_US         ; #current             ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| traffic.license_plate  | 62J 665 | #current | #current |  |"
 address.address          ; Am Sonnenberg 4a\n27404 Elsdorf                                           ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address  | Am Sonnenberg 4a\n27404 Elsdorf | #current | 4711 Dummy Test Case | Get Address |"
 address.address_country  ; Am Sonnenberg 4a\n27404 Elsdorf\nDeutschland                              ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address_country  | Am Sonnenberg 4a\n27404 Elsdorf\nDeutschland | #current | 4711 Dummy Test Case | Get Address And Country |"
 address.city             ; Berlin                                                                    ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.city  | Berlin | #current | 4711 Dummy Test Case | Get City |"
 address.country          ; Deutschland                                                               ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country  | Deutschland | #current | 4711 Dummy Test Case | Get Country |"
 address.country_code     ; DE                                                                        ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country_code  | DE | #current | 4711 Dummy Test Case | Get Country Code |"
 address.house_number     ; 24                                                                        ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.house_number  | 24 | #current | 4711 Dummy Test Case | Get House Number |"
 address.postcode         ; 56865                                                                     ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode  | 56865 | #current | 4711 Dummy Test Case | Get Postcode |"
 address.postcode_city    ; 85445 Oberding                                                            ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode_city  | 85445 Oberding | #current | 4711 Dummy Test Case | Get Postcode And City |"
 address.state            ; Bayern                                                                    ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.state  | Bayern | #current | 4711 Dummy Test Case | Get State |"
 address.street           ; Dorfstraße                                                                ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street  | Dorfstraße | #current | 4711 Dummy Test Case | Get Street |"
 address.street_address   ; Rathausplatz 1                                                            ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street_address  | Rathausplatz 1 | #current | 4711 Dummy Test Case | Get Street And House Number |"
 finance.bank_name        ; Volksbank Raiffeisenbank Obermain (Gf P2)                                 ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_name  | Volksbank Raiffeisenbank Obermain (Gf P2) | #current | 4711 Dummy Test Case | Get Bank |"
 finance.bank_bic         ; SOLADEST428                                                               ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_bic  | SOLADEST428 | #current | 4711 Dummy Test Case | Get Bic |"
 finance.bank_iban        ; DE39666923008322024858                                                    ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_iban  | DE39666923008322024858 | #current | 4711 Dummy Test Case | Get Iban |"
 person.first_name        ; Arzu                                                                      ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.first_name  | Arzu | #current | 4711 Dummy Test Case | Get First Name |"
 person.last_name         ; Leonhard                                                                  ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.last_name  | Leonhard | #current | 4711 Dummy Test Case | Get Last Name |"
 person.name              ; Erkhild Roll                                                              ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Erkhild Roll | #current | 4711 Dummy Test Case | Get Name |"
 person.name              ; Judith Melzer                                                             ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Judith Melzer | #current | 4711 Dummy Test Case | Get Name |"
 traffic.license_plate    ; HB GU 7692                                                                ; de_DE         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | de_DE | True |" ; "| item | value | test_suite | test_case | keyword |<br>| traffic.license_plate  | HB GU 7692 | #current | 4711 Dummy Test Case |  |"
 address.address          ; 472 Matthews Glen\nPatriciatown, NE 60711                                 ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address  | 472 Matthews Glen\nPatriciatown, NE 60711  | #current | 4711 Dummy Test Case | Get Address |"
 address.address_country  ; 73701 Johnson Spurs Apt. 045\nNorth Jenniferside, DE 37733\nUnited States ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.address_country  | 73701 Johnson Spurs Apt. 045\nNorth Jenniferside, DE 37733\nUnited States | #current | 4711 Dummy Test Case | Get Address And Country |"
 address.city             ; Robinsonport                                                              ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.city  | Robinsonport | #current | 4711 Dummy Test Case | Get City |"
 address.country          ; Dominican Republic                                                        ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country  | Dominican Republic | #current | 4711 Dummy Test Case | Get Country |"
 address.country_code     ; CM                                                                        ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.country_code  | CM | #current | 4711 Dummy Test Case | Get Country Code |"
 address.house_number     ; 313                                                                       ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.house_number  | 313 | #current | 4711 Dummy Test Case | Get House Number |"
 address.postcode         ; 11989                                                                     ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode  | 11989 | #current | 4711 Dummy Test Case | Get Postcode |"
 address.postcode_city    ; Cindyburgh, OK 54788                                                      ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.postcode_city  | Cindyburgh, OK 54788 | #current | 4711 Dummy Test Case | Get Postcode And City |"
 address.state            ; Alberta                                                                   ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.state  | Alberta | #current | 4711 Dummy Test Case | Get State |"
 address.street           ; Lauren Groves                                                             ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street  | Lauren Groves | #current | 4711 Dummy Test Case | Get Street |"
 address.street_address   ; 25295 Butler Mount Apt. 941                                               ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| address.street_address  | 25295 Butler Mount Apt. 941 | #current | 4711 Dummy Test Case | Get Street And House Number |"
 finance.bank_name        ; FRONTIER PARTNERS, INC                                                    ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_name  | FRONTIER PARTNERS, INC | #current | 4711 Dummy Test Case | Get Bank |"
 finance.bank_bic         ; CINXUS41XXX                                                               ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_bic  | CINXUS41XXX | #current | 4711 Dummy Test Case | Get Bic |"
 finance.bank_iban        ; GB22SKSY77828694458836                                                    ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| finance.bank_iban  | GB22SKSY77828694458836 | #current | 4711 Dummy Test Case | Get Iban |"
 person.first_name        ; Ellen                                                                     ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.first_name  | Ellen | #current | 4711 Dummy Test Case | Get First Name |"
 person.last_name         ; Wilson                                                                    ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.last_name  | Wilson | #current | 4711 Dummy Test Case | Get Last Name |"
 person.name              ; Lisa Carter                                                               ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Lisa Carter | #current | 4711 Dummy Test Case | Get Name |"
 person.name              ; Nicole Stevens                                                            ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| person.name  | Nicole Stevens | #current | 4711 Dummy Test Case | Get Name |"
 traffic.license_plate    ; 642 JGU                                                                   ; en_US         ; 4711 Dummy Test Case ; "| mode | replay_file | localization | logging |<br>| replay | replay_file_gherkin.csv | en_US | True |" ; "| item | value | test_suite | test_case | keyword |<br>| traffic.license_plate  | 642 JGU | #current | 4711 Dummy Test Case |  |"
